date,strategy,benchmark_equal_weight,strategy_daily_return,benchmark_daily_return,turnover
2025-06-12,1.0,1.0,0.0,0.0,0.0
2025-06-13,1.0,0.9931445863696309,0.0,-0.006855413630369081,0.0
2025-06-16,1.0,0.9972887387354135,0.0,0.004172758350253103,0.0
2025-06-17,1.0,0.9961300543084994,0.0,-0.0011618344636913497,0.0
2025-06-18,1.0,0.9950322470780174,0.0,-0.0011020721900054237,0.0
2025-06-19,1.0,0.9860660135284922,0.0,-0.009010997960975778,0.0
2025-06-20,1.0,0.9849561052777325,0.0,-0.0011255922377733096,0.0
2025-06-23,1.0,0.9892422469102545,0.0,0.004351606746285874,0.0
2025-06-24,1.0,0.9998502277276604,0.0,0.01072333985991622,0.0
2025-06-25,1.0,1.0108666859156807,0.0,0.011018108395151383,0.0
2025-06-26,1.0,1.0088435768049187,0.0,-0.002001360949915376,0.0
2025-06-27,1.0,1.0084971386679122,0.0,-0.0003434012417501131,0.0
2025-06-30,1.0,1.0124391688181518,0.0,0.003908816395301093,0.0
2025-07-01,1.0,1.0141822840681936,0.0,0.001721698748653272,0.0
2025-07-02,1.0,1.0122974284059694,0.0,-0.0018584979168277393,0.0
2025-07-03,1.0,1.0159852195107137,0.0,0.0036429916754321112,0.0
2025-07-04,1.0,1.0163366279661221,0.0,0.00034587949574463317,0.0
2025-07-07,1.0,1.0136710672655476,0.0,-0.002622714391302447,0.0
2025-07-08,1.0,1.0220740789800091,0.0,0.00828968290189959,0.0
2025-07-09,1.0,1.0189705211112094,0.0,-0.0030365292816122713,0.0
2025-07-10,1.0,1.023359794859185,0.0,0.004307557144233157,0.0
2025-07-11,1.0,1.0256795689029927,0.0,0.0022668215572479167,0.0
2025-07-14,1.0,1.0259328791867264,0.0,0.00024696824565248465,0.0
2025-07-15,1.0,1.0305477774189868,0.0,0.004498245768201556,0.0
2025-07-16,1.0,1.029798023811926,0.0,-0.0007275292067860928,0.0
2025-07-17,1.0,1.0357629560360486,0.0,0.005792332172131015,0.0
2025-07-18,1.0,1.0402856185471479,0.0,0.004366503440524361,0.0
2025-07-21,1.0,1.0470293456014022,0.0,0.006482572607004342,0.0
2025-07-22,1.0,1.0532261406014485,0.0,0.005918453982287408,0.0
2025-07-23,1.0,1.0569634076260712,0.0,0.0035483994182753525,0.0
2025-07-24,1.0,1.0605548660917201,0.0,0.003397902367987593,0.0
2025-07-25,1.0,1.0571928447431165,0.0,-0.0031700588588999545,0.0
2025-07-28,1.0,1.0594307706095112,0.0,0.0021168568038676394,0.0
2025-07-29,1.0,1.0611544932779995,0.0,0.0016270271888520343,0.0
2025-07-30,1.0,1.0558974376514576,0.0,-0.004954090718970072,0.0
2025-07-31,1.0,1.0476687892556995,0.0,-0.007793037564387165,0.0
2025-08-01,1.0,1.0440602567178374,0.0,-0.0034443447918552222,0.0
2025-08-04,1.0,1.0473991268272989,0.0,0.0031979668682701606,0.0
2025-08-05,1.0,1.0542096541398707,0.0,0.006502322885452216,0.0
2025-08-06,1.0,1.0570009513201406,0.0,0.0026477628707995,0.0
2025-08-07,1.0,1.057818345255561,0.0,0.0007733142854787628,0.0
2025-08-08,1.0,1.055678486613377,0.0,-0.002022898025716313,0.0
2025-08-11,1.0,1.0596394263855067,0.0,0.0037520322923661614,0.0
2025-08-12,1.0,1.0620185067550927,0.0,0.002245179171655759,0.0
2025-08-13,1.0,1.0745218766390952,0.0,0.011773212806060515,0.0
2025-08-14,1.0,1.0694355523436883,0.0,-0.004733569791353143,0.0
2025-08-15,1.0,1.0770045202652938,0.0,0.007077535345648367,0.0
2025-08-18,1.0,1.083861436761943,0.0,0.006366655262468338,0.0
