date,code,name,close,amount,volume,open,high,low
2018-01-02,511010,国债ETF,106.8443,27171778.0,248100.0,106.9303,106.9303,106.7733
2018-01-03,511010,国债ETF,106.8883,18992881.0,173300.0,106.8443,106.9853,106.7803
2018-01-04,511010,国债ETF,106.9083,52250984.0,476900.0,106.8543,106.9113,106.8453
2018-01-05,511010,国债ETF,106.9173,9950634.0,90800.0,106.9103,106.9253,106.8743
2018-01-08,511010,国债ETF,106.9803,9099840.0,83000.0,106.9173,107.0033,106.9143
2018-01-09,511010,国债ETF,107.0013,17167393.0,156530.0,106.9813,107.0073,106.9803
2018-01-10,511010,国债ETF,106.9933,73607476.0,671010.0,107.0623,107.0643,106.9673
2018-01-11,511010,国债ETF,106.8953,5106842.0,46600.0,106.9933,106.9933,106.8653
2018-01-12,511010,国债ETF,106.9913,19222844.0,175400.0,106.9543,107.0253,106.8743
2018-01-15,511010,国债ETF,106.8663,12668549.0,115620.0,106.9303,106.9443,106.8643
2018-01-16,511010,国债ETF,106.8693,18386635.0,167717.0,106.8833,107.0053,106.8563
2018-01-17,511010,国债ETF,106.8553,9002152.0,82200.0,106.8693,106.9213,106.7243
2018-01-18,511010,国债ETF,106.7383,8454803.0,77200.0,106.9033,106.9033,106.7353
2018-01-19,511010,国债ETF,106.8813,14864358.0,135800.0,106.7783,106.8943,106.7353
2018-01-22,511010,国债ETF,106.9693,18482306.0,168477.0,106.7803,107.6903,106.7803
2018-01-23,511010,国债ETF,107.0103,24209755.0,220700.0,106.8943,107.0443,106.8693
2018-01-24,511010,国债ETF,107.1393,18722319.0,170477.0,107.0113,107.4813,106.9333
2018-01-25,511010,国债ETF,107.2323,22275931.0,202765.0,107.1153,107.3103,107.0553
2018-01-26,511010,国债ETF,107.2613,19125931.0,173900.0,107.2213,107.3843,107.2213
2018-01-29,511010,国债ETF,107.3163,13752694.0,125035.0,107.2593,107.3873,107.2593
2018-01-30,511010,国债ETF,107.3103,8116942.0,73800.0,107.3163,107.3523,107.2573
2018-01-31,511010,国债ETF,107.1693,22845401.0,208000.0,107.3103,107.3103,107.0233
2018-02-01,511010,国债ETF,107.1923,3097595.0,28200.0,107.0613,107.2093,107.0613
2018-02-02,511010,国债ETF,107.2443,54308134.0,494200.0,107.0873,107.2443,107.0873
2018-02-05,511010,国债ETF,107.3203,40509383.0,368300.0,107.3103,107.3273,107.2553
2018-02-06,511010,国债ETF,107.3063,50213389.0,456500.0,107.3863,107.5383,107.3003
2018-02-07,511010,国债ETF,107.3713,74809131.0,680069.0,107.2453,107.3863,107.2433
2018-02-08,511010,国债ETF,107.3633,96597212.0,877700.0,107.3713,107.4173,107.3193
2018-02-09,511010,国债ETF,107.7133,30007125.0,272100.0,107.3673,107.9183,107.3653
2018-02-12,511010,国债ETF,107.8383,27591246.0,249772.0,107.6983,107.8393,107.6143
2018-02-13,511010,国债ETF,107.8363,52723581.0,477100.0,107.7053,107.8443,107.6963
2018-02-14,511010,国债ETF,107.8443,38865041.0,351700.0,107.8373,107.8453,107.6943
