date,code,name,close,amount,volume,open,high,low
2021-05-25,513180,恒生科技ETF,1.003,604353039.0,604253800.0,0.991,1.004,0.987
2021-05-26,513180,恒生科技ETF,1.004,452312285.0,450025400.0,1.005,1.009,1.001
2021-05-27,513180,恒生科技ETF,1.005,345241070.0,343661900.0,1.001,1.009,1.0
2021-05-28,513180,恒生科技ETF,0.991,317821834.0,317619300.0,1.01,1.01,0.988
2021-05-31,513180,恒生科技ETF,0.998,266740253.0,267986200.0,0.995,1.001,0.99
2021-06-01,513180,恒生科技ETF,1.03,905461570.0,886779700.0,1.009,1.033,1.003
2021-06-02,513180,恒生科技ETF,1.022,306999300.0,298824500.0,1.035,1.039,1.021
2021-06-03,513180,恒生科技ETF,1.016,254073910.0,247716500.0,1.024,1.032,1.014
2021-06-04,513180,恒生科技ETF,1.01,332870342.0,328716000.0,1.009,1.02,1.005
2021-06-07,513180,恒生科技ETF,1.004,212488010.0,212041000.0,1.014,1.014,0.997
2021-06-08,513180,恒生科技ETF,0.993,273466956.0,274591700.0,1.006,1.009,0.99
2021-06-09,513180,恒生科技ETF,0.992,136143950.0,137082400.0,0.993,0.998,0.989
2021-06-10,513180,恒生科技ETF,0.991,276852851.0,278427000.0,0.995,1.001,0.99
2021-06-11,513180,恒生科技ETF,0.992,185023927.0,185812800.0,0.996,1.003,0.992
2021-06-15,513180,恒生科技ETF,0.991,189219939.0,190879700.0,0.998,1.001,0.982
2021-06-16,513180,恒生科技ETF,0.98,158002393.0,160818800.0,0.987,0.989,0.979
2021-06-17,513180,恒生科技ETF,0.986,227082215.0,231047400.0,0.974,0.986,0.972
2021-06-18,513180,恒生科技ETF,1.004,315035875.0,313482400.0,0.994,1.012,0.994
2021-06-21,513180,恒生科技ETF,0.998,210340493.0,211000900.0,0.997,1.003,0.992
2021-06-22,513180,恒生科技ETF,0.987,273045566.0,276024600.0,1.001,1.002,0.984
2021-06-23,513180,恒生科技ETF,1.008,282583684.0,282549700.0,0.991,1.01,0.987
2021-06-24,513180,恒生科技ETF,1.01,238531759.0,235724800.0,1.01,1.017,1.007
2021-06-25,513180,恒生科技ETF,1.03,320032615.0,311993300.0,1.018,1.032,1.017
2021-06-28,513180,恒生科技ETF,1.033,192627941.0,186217400.0,1.031,1.04,1.03
2021-06-29,513180,恒生科技ETF,1.023,259315335.0,251466300.0,1.036,1.043,1.023
2021-06-30,513180,恒生科技ETF,1.023,155696450.0,151632300.0,1.032,1.035,1.022
2021-07-01,513180,恒生科技ETF,1.016,63046166.0,61888900.0,1.023,1.024,1.016
2021-07-02,513180,恒生科技ETF,0.992,316690241.0,317949500.0,1.018,1.018,0.99
2021-07-05,513180,恒生科技ETF,0.971,338510653.0,347879700.0,0.988,0.991,0.964
2021-07-06,513180,恒生科技ETF,0.962,305239650.0,318221100.0,0.971,0.973,0.953
2021-07-07,513180,恒生科技ETF,0.953,261468832.0,274404700.0,0.954,0.959,0.947
2021-07-08,513180,恒生科技ETF,0.93,313503882.0,334366500.0,0.956,0.956,0.928
2021-07-09,513180,恒生科技ETF,0.936,452914782.0,488178900.0,0.925,0.943,0.907
2021-07-12,513180,恒生科技ETF,0.945,201308983.0,213638300.0,0.948,0.951,0.934
2021-07-13,513180,恒生科技ETF,0.96,257487755.0,268126900.0,0.949,0.968,0.946
2021-07-14,513180,恒生科技ETF,0.962,180233063.0,187034500.0,0.962,0.968,0.96
2021-07-15,513180,恒生科技ETF,0.963,146039117.0,151715300.0,0.963,0.966,0.957
2021-07-16,513180,恒生科技ETF,0.956,200529162.0,209370500.0,0.961,0.964,0.953
2021-07-19,513180,恒生科技ETF,0.939,166193226.0,177011600.0,0.95,0.95,0.934
2021-07-20,513180,恒生科技ETF,0.925,272395251.0,293729000.0,0.933,0.942,0.919
2021-07-21,513180,恒生科技ETF,0.922,258757705.0,280111800.0,0.931,0.934,0.919
2021-07-22,513180,恒生科技ETF,0.937,187429373.0,200145300.0,0.93,0.941,0.93
2021-07-23,513180,恒生科技ETF,0.921,251860747.0,272132900.0,0.938,0.94,0.92
2021-07-26,513180,恒生科技ETF,0.869,546626338.0,625476400.0,0.901,0.901,0.856
2021-07-27,513180,恒生科技ETF,0.801,771041503.0,933094700.0,0.855,0.856,0.797
2021-07-28,513180,恒生科技ETF,0.808,565595041.0,703486098.0,0.811,0.822,0.789
2021-07-29,513180,恒生科技ETF,0.864,494025798.0,575410104.0,0.85,0.872,0.844
2021-07-30,513180,恒生科技ETF,0.842,382915156.0,454385804.0,0.85,0.854,0.831
2021-08-02,513180,恒生科技ETF,0.853,252274683.0,296832400.0,0.852,0.858,0.84
2021-08-03,513180,恒生科技ETF,0.843,381944641.0,455689200.0,0.855,0.856,0.825
2021-08-04,513180,恒生科技ETF,0.86,331490949.0,387097769.0,0.839,0.87,0.831
2021-08-05,513180,恒生科技ETF,0.843,314830638.0,368501445.0,0.858,0.868,0.841
2021-08-06,513180,恒生科技ETF,0.846,320481339.0,379314900.0,0.847,0.851,0.837
2021-08-09,513180,恒生科技ETF,0.843,299165846.0,355226706.0,0.83,0.851,0.829
2021-08-10,513180,恒生科技ETF,0.858,290191332.0,340828700.0,0.852,0.86,0.843
2021-08-11,513180,恒生科技ETF,0.858,269005975.0,313218800.0,0.855,0.867,0.848
2021-08-12,513180,恒生科技ETF,0.845,280877393.0,329493900.0,0.856,0.859,0.845
2021-08-13,513180,恒生科技ETF,0.828,292291011.0,351387320.0,0.836,0.842,0.825
2021-08-16,513180,恒生科技ETF,0.81,359152978.0,441449000.0,0.827,0.828,0.807
2021-08-17,513180,恒生科技ETF,0.786,429960691.0,541979290.0,0.803,0.809,0.781
2021-08-18,513180,恒生科技ETF,0.786,236997958.0,300597400.0,0.787,0.794,0.782
2021-08-19,513180,恒生科技ETF,0.767,344371489.0,443989500.0,0.787,0.79,0.767
2021-08-20,513180,恒生科技ETF,0.747,647473735.0,865507000.0,0.761,0.762,0.733
2021-08-23,513180,恒生科技ETF,0.761,382318815.0,498197800.0,0.76,0.777,0.757
2021-08-24,513180,恒生科技ETF,0.803,503442941.0,636215700.0,0.777,0.803,0.775
2021-08-25,513180,恒生科技ETF,0.807,484955567.0,592503484.0,0.825,0.835,0.806
2021-08-26,513180,恒生科技ETF,0.793,449008201.0,560990300.0,0.809,0.814,0.789
2021-08-27,513180,恒生科技ETF,0.794,349455427.0,434965600.0,0.795,0.813,0.794
2021-08-30,513180,恒生科技ETF,0.8,313501977.0,392399100.0,0.791,0.806,0.789
